start_station,end_station,distance_km
Tokyo_Yamanote,Kanda_Yamanote,1.3
Kanda_Yamanote,Akihabara_Yamanote,0.7
Akihabara_Yamanote,Okachimachi_Yamanote,1.0
Okachimachi_Yamanote,Ueno_Yamanote,0.6
Ueno_Yamanote,Uguisudani_Yamanote,1.1
Uguisudani_Yamanote,Nippori_Yamanote,1.1
Nippori_Yamanote,Nishi-Nippori_Yamanote,0.5
Nishi-Nippori_Yamanote,Tabata_Yamanote,0.8
Tabata_Yamanote,Komagome_Yamanote,1.6
Komagome_Yamanote,Sugamo_Yamanote,0.7
Sugamo_Yamanote,Ōtsuka_Yamanote,1.1
Ōtsuka_Yamanote,Ikebukuro_Yamanote,1.8
Ikebukuro_Yamanote,Mejiro_Yamanote,1.2
Mejiro_Yamanote,Takadanobaba_Yamanote,0.9
Takadanobaba_Yamanote,Shin-Ōkubo_Yamanote,1.4
Shin-Ōkubo_Yamanote,Shinjuku_Yamanote,1.3
Shinjuku_Yamanote,Yoyogi_Yamanote,0.7
Yoyogi_Yamanote,Harajuku_Yamanote,1.5
Harajuku_Yamanote,Shibuya_Yamanote,1.2
Shibuya_Yamanote,Ebisu_Yamanote,1.6
Ebisu_Yamanote,Meguro_Yamanote,1.5
Meguro_Yamanote,Gotanda_Yamanote,1.2
Gotanda_Yamanote,Ōsaki_Yamanote,0.9
Ōsaki_Yamanote,Shinagawa_Yamanote,2.0
Shinagawa_Yamanote,Takanawa_Gētowei_Yamanote,0.9
Takanawa_Gētowei_Yamanote,Tamachi_Yamanote,1.3
Tamachi_Yamanote,Hamamatsucho_Yamanote,1.5
Hamamatsucho_Yamanote,Shimbashi_Yamanote,1.2
Shimbashi_Yamanote,Yurakucho_Yamanote,1.1
Yurakucho_Yamanote,Tokyo_Yamanote,0.8
Tokyo_Yamanote,Tokyo_Chuo_Rapid,0.0
Kanda_Yamanote,Kanda_Chuo_Rapid,0.0
Shinjuku_Yamanote,Shinjuku_Chuo_Rapid,0.0